file,size_mb,pages,w150,h150,mean_bright,pct_dark,text_layer_chars
-M22144-1_20050802 1.pdf,0.35,1,1272,1665,238.2,0.0,0
-M22144-1_20050802.pdf,0.35,1,1272,1665,238.2,0.0,0
-M22158_1991_20050802.pdf,0.51,1,1272,1669,243.9,0.0,0
06_14j.pdf,0.66,1,4000,5342,248.5,1.4,5206
10-A.pdf,0.26,1,3750,2925,250.4,0.9,4127
10-AB.pdf,0.38,1,3750,2925,62.8,78.0,6879
10-N.pdf,0.24,1,3750,2925,250.2,0.7,3165
102_15ur.pdf,0.35,1,7200,5400,247.0,2.1,4703
107_21sr.pdf,0.34,1,4007,5342,250.0,1.0,4279
10_14n.pdf,0.58,1,4007,5342,248.8,1.5,4599
10b64.pdf,2.36,1,5100,6600,250.2,1.2,16062
10b68.pdf,3.21,1,6600,5100,251.0,1.0,16306
11-AD.pdf,0.17,1,3750,2925,51.8,80.1,2936
11-L.pdf,0.29,1,3750,2925,59.6,77.7,5212
11-M.pdf,0.29,1,3750,2925,248.9,0.9,4553
11-U.pdf,0.42,1,3750,2925,248.1,0.7,8936
12-Z.pdf,0.46,1,3750,2925,248.8,0.7,7754
16503-2.pdf,0.25,1,3600,5100,249.1,1.9,6580
buch13kv.pdf,1.18,1,5100,6600,243.1,4.1,22982
buchanan_13w.pdf,1.18,1,5100,6600,246.6,2.8,22989
bucharea.pdf,1.17,1,5100,6600,243.2,4.1,22788
cbrx13kv.pdf,1.02,1,5100,6600,235.7,6.6,19934
cedar_street_20w.pdf,0.79,1,5100,6600,253.3,0.2,14723
central_bronx_4x.pdf,1.02,1,5100,6600,239.3,5.1,19934
elmsford_12w.pdf,1.72,1,5100,6600,243.8,3.7,31623
fordham_3x.pdf,1.37,1,5100,6600,238.4,5.5,24013
granite_hill_10w_15w.pdf,2.95,1,5100,6600,251.5,0.3,63158
grassland_19w.pdf,0.66,1,5100,6600,246.5,2.9,12144
grasslands_19w.pdf,0.8,1,5100,6600,246.6,2.7,15176
harrison_17w.pdf,1.7,1,5100,6600,243.2,3.9,30552
m10f.pdf,0.13,1,3900,3000,251.3,1.3,245
m10j.pdf,0.44,1,3900,3000,243.7,3.9,260
millwood_7w.pdf,0.61,1,6600,5100,248.4,2.3,11051
milwood_7w.pdf,0.56,1,6600,5100,249.8,1.7,10046
mohansic_16w.pdf,0.46,1,5100,6600,250.5,1.4,8844
north_east_bronx_5x.pdf,0.79,1,5100,6600,246.8,2.7,15780
ossining_6w.pdf,0.63,1,5100,6600,248.9,2.0,11206
pleasantville_11w_14w.pdf,0.73,1,6600,5100,248.7,2.1,13053
rivd13kv.pdf,0.9,1,5100,6600,241.6,4.5,15438
riverdale_1x.pdf,0.9,1,5100,6600,243.2,3.9,15615
rockview_2w.pdf,1.88,1,5100,6600,253.1,0.2,39738
south_east_bronx.pdf,1.13,1,5100,6600,237.9,5.7,22580
south_east_bronx_7w.pdf,1.12,1,5100,6600,238.0,5.7,22323
south_east_bronx_7x.pdf,1.14,1,5100,6600,239.9,4.9,22675
w100ag.pdf,0.03,1,3150,3900,250.5,1.6,469
washington_st_1w_9w.pdf,1.69,1,5100,6600,252.4,0.3,36079
west_bronx_2x.pdf,1.23,1,5100,6600,235.2,6.8,21105
white_plains_8w.pdf,1.69,1,5100,6600,242.2,4.2,31458
