file,page,variant,engine,ocr_tokens,gt_tokens,gt_hits,gt_recall,term_hits,term_total
-M22158_1991_20050802,1,binarized,rapidocr,28,0,0,,,
-M22158_1991_20050802,1,gray_contrast,rapidocr,35,0,0,,,
-M22158_1991_20050802,1,inverted,rapidocr,35,0,0,,,
-M22158_1991_20050802,1,raw,rapidocr,35,0,0,,,
10-AB,1,binarized,rapidocr,118,251,34,0.1355,,
10-AB,1,gray_contrast,rapidocr,112,251,39,0.1554,,
10-AB,1,inverted,rapidocr,110,251,42,0.1673,,
10-AB,1,raw,rapidocr,118,251,44,0.1753,,
11-AD,1,binarized,rapidocr,31,109,11,0.1009,,
11-AD,1,gray_contrast,rapidocr,39,109,23,0.211,,
11-AD,1,inverted,rapidocr,39,109,21,0.1927,,
11-AD,1,raw,rapidocr,34,109,21,0.1927,,
riverdale_1x,1,binarized,rapidocr,26,655,23,0.0351,,
riverdale_1x,1,gray_contrast,rapidocr,26,655,25,0.0382,,
riverdale_1x,1,inverted,rapidocr,26,655,22,0.0336,,
riverdale_1x,1,raw,rapidocr,26,655,22,0.0336,,
w100ag,1,binarized,rapidocr,30,39,27,0.6923,,
w100ag,1,gray_contrast,rapidocr,29,39,25,0.641,,
w100ag,1,inverted,rapidocr,29,39,25,0.641,,
w100ag,1,raw,rapidocr,29,39,25,0.641,,
west_bronx_2x,1,binarized,rapidocr,32,886,31,0.035,,
west_bronx_2x,1,gray_contrast,rapidocr,36,886,36,0.0406,,
west_bronx_2x,1,inverted,rapidocr,36,886,36,0.0406,,
west_bronx_2x,1,raw,rapidocr,36,886,36,0.0406,,
