file,page,variant,engine,word_count,mean_confidence,seconds,error
-M22158_1991_20050802.pdf,1,raw,rapidocr,40,0.8642,7.2,
-M22158_1991_20050802.pdf,1,gray_contrast,rapidocr,34,0.8546,3.34,
-M22158_1991_20050802.pdf,1,inverted,rapidocr,43,0.8285,5.04,
-M22158_1991_20050802.pdf,1,binarized,rapidocr,26,0.8318,6.14,
10-AB.pdf,1,raw,rapidocr,164,0.8852,13.64,
10-AB.pdf,1,gray_contrast,rapidocr,154,0.8894,15.7,
10-AB.pdf,1,inverted,rapidocr,174,0.8801,16.44,
10-AB.pdf,1,binarized,rapidocr,183,0.8336,19.49,
11-AD.pdf,1,raw,rapidocr,26,0.9448,4.81,
11-AD.pdf,1,gray_contrast,rapidocr,28,0.9341,6.14,
11-AD.pdf,1,inverted,rapidocr,28,0.939,5.85,
11-AD.pdf,1,binarized,rapidocr,24,0.8918,5.18,
riverdale_1x.pdf,1,raw,rapidocr,20,0.9137,7.39,
riverdale_1x.pdf,1,gray_contrast,rapidocr,21,0.9075,5.39,
riverdale_1x.pdf,1,inverted,rapidocr,20,0.9137,4.44,
riverdale_1x.pdf,1,binarized,rapidocr,19,0.9224,3.78,
w100ag.pdf,1,raw,rapidocr,26,0.9649,5.48,
w100ag.pdf,1,gray_contrast,rapidocr,26,0.9623,5.05,
w100ag.pdf,1,inverted,rapidocr,26,0.9649,5.96,
w100ag.pdf,1,binarized,rapidocr,29,0.9306,5.69,
west_bronx_2x.pdf,1,raw,rapidocr,28,0.9636,5.34,
west_bronx_2x.pdf,1,gray_contrast,rapidocr,28,0.9635,4.87,
west_bronx_2x.pdf,1,inverted,rapidocr,28,0.9636,5.6,
west_bronx_2x.pdf,1,binarized,rapidocr,27,0.9723,6.86,
